VM;Powerstate;CPUs;Memory;Primary_IP_Address;Network_1;Cluster;Datacenter;Host;OS_VMwareTools;OS_ConfigFile;GeneratedUniqueID
GES-01;poweredOn;2;2048;10.1.7.66;VLAN-10.1.7.x;CL_WEB;WEB;rz1-esx-39.bev.int;CentOS 7 (64-bit);CentOS 4/5/6 (64-bit);["10.1.7.66","GES-01"]
GEUVW10-01;poweredOn;4;16384;10.6.9.61;VLAN-10.6.9.x;CL_BEU;BEU;rz2-esx-51.bev.int;Microsoft Windows 10 (64-bit);Microsoft Windows 10 (64-bit);["10.6.9.61","GEUVW10-01"]
GEUVW10-02;poweredOn;2;16384;10.6.9.62;VLAN-10.6.9.x;CL_BEU;BEU;rz1-esx-51.bev.int;Microsoft Windows 10 (64-bit);Microsoft Windows 10 (64-bit);["10.6.9.62","GEUVW10-02"]
GEUVW10-03;poweredOn;4;16384;10.6.9.63;VLAN-10.6.9.x;CL_BEU;BEU;rz1-esx-41.bev.int;Microsoft Windows 10 (64-bit);Microsoft Windows 10 (64-bit);["10.6.9.63","GEUVW10-03"]
GEUVW10-04;poweredOn;4;16384;10.6.9.64;VLAN-10.6.9.x;CL_BEU;BEU;rz1-esx-51.bev.int;Microsoft Windows 10 (64-bit);Microsoft Windows 10 (64-bit);["10.6.9.64","GEUVW10-04"]
GEUVW10-07;poweredOn;2;16384;10.6.9.67;VLAN-10.6.9.x;CL_BEU;BEU;rz1-esx-41.bev.int;Microsoft Windows 10 (64-bit);Microsoft Windows 10 (64-bit);["10.6.9.67","GEUVW10-07"]
GEUVW10-08;poweredOn;2;16384;10.6.9.68;VLAN-10.6.9.x;CL_BEU;BEU;rz1-esx-41.bev.int;Microsoft Windows 10 (64-bit);Microsoft Windows 10 (64-bit);["10.6.9.68","GEUVW10-08"]
GEUVW10-09;poweredOn;2;16384;10.6.9.69;VLAN-10.6.9.x;CL_BEU;BEU;rz1-esx-41.bev.int;Microsoft Windows 10 (64-bit);Microsoft Windows 10 (64-bit);["10.6.9.69","GEUVW10-09"]
GEUVW10-10;poweredOn;2;16384;10.6.9.70;VLAN-10.6.9.x;CL_BEU;BEU;rz1-esx-51.bev.int;Microsoft Windows 10 (64-bit);Microsoft Windows 10 (64-bit);["10.6.9.70","GEUVW10-10"]
GEUVW10-11;poweredOn;2;16384;10.6.9.71;VLAN-10.6.9.x;CL_BEU;BEU;rz2-esx-51.bev.int;Microsoft Windows 10 (64-bit);Microsoft Windows 10 (64-bit);["10.6.9.71","GEUVW10-11"]
GEUVW10-12;poweredOn;2;16384;10.6.9.72;VLAN-10.6.9.x;CL_BEU;BEU;rz1-esx-41.bev.int;Microsoft Windows 10 (64-bit);Microsoft Windows 10 (64-bit);["10.6.9.72","GEUVW10-12"]
GEUVW10-13;poweredOn;2;16384;10.6.9.73;VLAN-10.6.9.x;CL_BEU;BEU;rz1-esx-51.bev.int;Microsoft Windows 10 (64-bit);Microsoft Windows 10 (64-bit);["10.6.9.73","GEUVW10-13"]
GEUVW10-14;poweredOn;2;16384;10.6.9.74;VLAN-10.6.9.x;CL_BEU;BEU;rz2-esx-51.bev.int;Microsoft Windows 10 (64-bit);Microsoft Windows 10 (64-bit);["10.6.9.74","GEUVW10-14"]
GEUVW10-21;poweredOn;4;16384;10.6.9.81;VLAN-10.6.9.x;CL_BEU;BEU;rz2-esx-51.bev.int;Microsoft Windows 10 (64-bit);Microsoft Windows 10 (64-bit);["10.6.9.81","GEUVW10-21"]
GEUVW10-22;poweredOn;4;16384;10.6.9.82;VLAN-10.6.9.x;CL_BEU;BEU;rz2-esx-51.bev.int;Microsoft Windows 10 (64-bit);Microsoft Windows 10 (64-bit);["10.6.9.82","GEUVW10-22"]
GEUVW10-23;poweredOn;4;16384;10.6.9.83;VLAN-10.6.9.x;CL_BEU;BEU;rz1-esx-51.bev.int;Microsoft Windows 10 (64-bit);Microsoft Windows 10 (64-bit);["10.6.9.83","GEUVW10-23"]
GEUVW7-01;poweredOn;4;12288;10.70.155.35;VLAN-10.70.155.x;CL_BEU;BEU;rz2-esx-51.bev.int;Microsoft Windows 7 (64-bit);Microsoft Windows 7 (64-bit);["10.70.155.35","GEUVW7-01"]
GEUVW7-03;poweredOn;2;8192;10.70.155.37;VLAN-10.70.155.x;CL_BEU;BEU;rz2-esx-41.bev.int;Microsoft Windows 7 (64-bit);Microsoft Windows 7 (64-bit);["10.70.155.37","GEUVW7-03"]
GEUVW7-04;poweredOn;2;8192;10.70.155.38;VLAN-10.70.155.x;CL_BEU;BEU;rz2-esx-51.bev.int;Microsoft Windows 7 (64-bit);Microsoft Windows 7 (64-bit);["10.70.155.38","GEUVW7-04"]
GEUVW7-05;poweredOn;1;4096;10.70.155.39;VLAN-10.70.155.x;CL_BEU;BEU;rz1-esx-51.bev.int;Microsoft Windows 7 (64-bit);Microsoft Windows 7 (64-bit);["10.70.155.39","GEUVW7-05"]
GEUVW7-09;poweredOn;2;8192;10.70.155.43;VLAN-10.70.155.x;CL_BEU;BEU;rz1-esx-51.bev.int;Microsoft Windows 7 (64-bit);Microsoft Windows 7 (64-bit);["10.70.155.43","GEUVW7-09"]
GEUVW7-21;poweredOn;2;8192;10.70.155.21;VLAN-10.70.155.x;CL_BEU;BEU;rz1-esx-51.bev.int;Microsoft Windows 7 (64-bit);Microsoft Windows 7 (64-bit);["10.70.155.21","GEUVW7-21"]
GEUVW7-22;poweredOn;2;8192;10.70.155.22;VLAN-10.70.155.x;CL_BEU;BEU;rz1-esx-41.bev.int;Microsoft Windows 7 (64-bit);Microsoft Windows 7 (64-bit);["10.70.155.22","GEUVW7-22"]
GEUVW7-24;poweredOn;2;8192;10.70.155.24;VLAN-10.70.155.x;CL_BEU;BEU;rz2-esx-51.bev.int;Microsoft Windows 7 (64-bit);Microsoft Windows 7 (64-bit);["10.70.155.24","GEUVW7-24"]
GEUVW7-25;poweredOn;1;4096;10.70.155.25;VLAN-10.70.155.x;CL_BEU;BEU;rz2-esx-41.bev.int;Microsoft Windows 7 (64-bit);Microsoft Windows 7 (64-bit);["10.70.155.25","GEUVW7-25"]
GEUVW7-31;poweredOn;2;8192;10.70.155.31;VLAN-10.70.155.x;CL_BEU;BEU;rz1-esx-51.bev.int;Microsoft Windows 7 (64-bit);Microsoft Windows 7 (64-bit);["10.70.155.31","GEUVW7-31"]
GEUVW7-32;poweredOn;1;4096;10.70.155.32;VLAN-10.70.155.x;CL_BEU;BEU;rz2-esx-51.bev.int;Microsoft Windows 7 (64-bit);Microsoft Windows 7 (64-bit);["10.70.155.32","GEUVW7-32"]
GEUVW7-48;poweredOn;1;8192;10.70.155.48;VLAN-10.70.155.x;CL_BEU;BEU;rz1-esx-51.bev.int;Microsoft Windows 7 (64-bit);Microsoft Windows 7 (64-bit);["10.70.155.48","GEUVW7-48"]
GEUVW7-49;poweredOn;2;16384;10.70.155.49;VLAN-10.70.155.x;CL_BEU;BEU;rz1-esx-51.bev.int;Microsoft Windows 7 (64-bit);Microsoft Windows 7 (64-bit);["10.70.155.49","GEUVW7-49"]
GEUVW7-50;poweredOn;1;4096;10.70.155.50;VLAN-10.70.155.x;CL_BEU;BEU;rz1-esx-51.bev.int;Microsoft Windows 7 (64-bit);Microsoft Windows 7 (64-bit);["10.70.155.50","GEUVW7-50"]
GRUPU-1;poweredOn;2;4096;10.1.16.51;VLAN-10.1.16.x;CL_WEB;WEB;rz2-esx-39.bev.int;CentOS 7 (64-bit);CentOS 4/5 (64-bit);["10.1.16.51","GRUPU-1"]
GRUPU-2;poweredOn;2;4096;10.1.16.52;VLAN-10.1.16.x;CL_WEB;WEB;rz2-esx-39.bev.int;CentOS 7 (64-bit);CentOS 4/5 (64-bit);["10.1.16.52","GRUPU-2"]
GRUPU-3;poweredOn;2;4096;10.1.16.53;VLAN-10.1.16.x;CL_WEB;WEB;rz2-esx-39.bev.int;CentOS 7 (64-bit);CentOS 4/5 (64-bit);["10.1.16.53","GRUPU-3"]
HPE-RDA-01;poweredOn;1;2048;10.1.38.21;VLAN-10.1.38.x;CL_WEB;WEB;rz2-esx-39.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.38.21","HPE-RDA-01"]
HPEXP8RAID-01;poweredOn;1;8192;10.3.100.181;VLAN-300;CL_PU;PU;rz1-esx-33.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.3.100.181","HPEXP8RAID-01"]
HPEXP8RAID-02;poweredOn;1;8192;10.3.100.182;VLAN-300;CL_PU;PU;rz2-esx-32.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.3.100.182","HPEXP8RAID-02"]
HPEXPIMS-01;poweredOn;2;28672;10.3.100.70;VLAN-300;CL_PU;PU;rz2-esx-32.bev.int;Oracle Linux 9 (64-bit);Oracle Linux 4/5/6/7 (64-bit);["10.3.100.70","HPEXPIMS-01"]
HPEXPPA-01;poweredOn;2;8192;10.3.100.71;VLAN-300;CL_PU;PU;rz2-esx-31.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.3.100.71","HPEXPPA-01"]
HVV-01;poweredOn;16;65536;10.1.33.70;VLAN-10.1.33.x;CL_DMZ-TU;DMZ;rz2-esx-56.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.33.70","HVV-01"]
HVV-02;poweredOn;16;32768;10.1.23.82;VLAN-10.1.23.x;CL_DMZ-TU;DMZ;rz2-esx-56.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.23.82","HVV-02"]
HVV-03;poweredOn;16;32768;10.1.23.83;VLAN-10.1.23.x;CL_DMZ-TU;DMZ;rz2-esx-56.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.23.83","HVV-03"]
HVV-GATEWAY-01;poweredOn;4;16384;10.1.9.21;VLAN-10.1.9.x;CL_WEB;WEB;rz1-esx-39.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.9.21","HVV-GATEWAY-01"]
IDM-01;poweredOn;2;8192;10.1.24.120;VLAN-10.1.24.x;CL_DMZ;DMZ;rz2-esx-57.bev.int;Red Hat Enterprise Linux 10 (64-bit);Red Hat Enterprise Linux 9 (64-bit);["10.1.24.120","IDM-01"]
IDM-02;poweredOn;2;8192;10.1.24.121;VLAN-10.1.24.x;CL_DMZ;DMZ;rz2-esx-57.bev.int;Red Hat Enterprise Linux 10 (64-bit);Red Hat Enterprise Linux 9 (64-bit);["10.1.24.121","IDM-02"]
idmtestclient-01;poweredOn;1;1024;;VLAN-10.2.5.x;CL_PU;PU;rz2-esx-50.bev.int;;Other 4.x or later Linux (64-bit);["idmtestclient-01"]
idmtestclient-02;poweredOn;1;1024;;VLAN-10.2.5.x;CL_PU;PU;rz2-esx-32.bev.int;;CentOS 4/5 (64-bit);["idmtestclient-02"]
IGELUMS-01;poweredOn;4;8192;10.2.9.11;VLAN-10.2.9.x;CL_PU;PU;rz1-esx-34.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.2.9.11","IGELUMS-01"]
IGELUMS-02;poweredOn;2;8192;10.2.9.9;VLAN-10.2.9.x;CL_PU;PU;rz1-esx-33.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.2.9.9","IGELUMS-02"]
IGELUMS-03;poweredOn;2;8192;10.2.9.12;VLAN-10.2.9.x;CL_PU;PU;rz1-esx-33.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.2.9.12","IGELUMS-03"]
insightidr-01;poweredOn;4;8192;10.1.51.101;VLAN-10.1.51.x;CL_DMZ;DMZ;rz2-esx-57.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.1.51.101","insightidr-01"]
insightvm-01;poweredOn;4;16384;10.1.51.111;VLAN-10.1.51.x;CL_DMZ;DMZ;rz1-esx-57.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.1.51.111","insightvm-01"]
INTCLOUD-01;poweredOn;1;2048;10.2.5.35;VLAN-10.2.5.x;CL_PU;PU;rz2-esx-31.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.2.5.35","INTCLOUD-01"]
INTDOCX-01;poweredOn;1;4096;10.2.5.36;VLAN-10.2.5.x;CL_PU;PU;rz2-esx-34.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.2.5.36","INTDOCX-01"]
IWSVA01;poweredOn;2;8192;10.1.3.131;Web_104;;Z-SEC;10.5.253.45;Other 5.x Linux (64-bit);Other Linux (64-bit);["10.1.3.131","IWSVA01"]
IWSVA02;poweredOn;2;8192;10.1.3.132;Web_104;;Z-SEC;10.5.253.46;Other 5.x or later Linux (64-bit);Red Hat Enterprise Linux 6 (64-bit);["10.1.3.132","IWSVA02"]
LEHRORC-01;poweredOn;1;6144;10.70.2.214;VLAN-10.70.2.0;CL_DB;DMZ-DB;rz2-esx-47.bev.int;Oracle Linux 8 (64-bit);Oracle Linux 8 (64-bit);["10.70.2.214","LEHRORC-01"]
LMHUB-01;poweredOn;4;32768;10.2.5.56;VLAN-10.2.5.x;CL_PU;PU;rz1-esx-52.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.2.5.56","LMHUB-01"]
logger01;poweredOn;2;6144;10.1.253.98;SecMgmt_113;;Z-SEC;10.5.253.45;Microsoft Windows Server 2008 R2 (64-bit);Microsoft Windows Server 2008 R2 (64-bit);["10.1.253.98","logger01"]
logger02;poweredOn;2;6144;10.1.51.99;Log_151;;Z-SEC;10.5.253.45;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2019 (64-bit);["10.1.51.99","logger02"]
LZZ-05;poweredOn;1;4096;10.2.8.17;VLAN-10.2.8.x;CL_PU;PU;rz2-esx-50.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.2.8.17","LZZ-05"]
mail01;poweredOn;4;8192;;Mail_102;;Z-SEC;10.5.253.45;;CentOS 4/5/6 (64-bit);["mail01"]
mail02-res;poweredOn;4;8192;;Mail_102;;Z-SEC;10.5.253.46;;CentOS 4/5 (64-bit);["mail02-res"]
messplatz;poweredOn;1;512;10.122.73.33;VLAN-10.122.73.x;CL_DMZ;DMZ;rz2-esx-36.bev.int;CentOS 4/5/6 (64-bit);Red Hat Enterprise Linux 5 (64-bit);["10.122.73.33","messplatz"]
MMAPP-01;poweredOn;2;8192;10.1.11.31;VLAN-10.1.11.x;CL_WEB;WEB;rz1-esx-39.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.11.31","MMAPP-01"]
MMAPP-02;poweredOn;2;8192;10.1.11.131;VLAN-10.1.11.x;CL_WEB;WEB;rz2-esx-39.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.11.131","MMAPP-02"]
MON-01;poweredOn;2;8192;10.1.41.60;VLAN-10.1.41.x;CL_DMZ-TU;DMZ;rz2-esx-56.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.41.60","MON-01"]
NAGIOS-01;poweredOn;4;16384;10.1.51.31;VLAN-10.1.51.x;CL_DMZ;DMZ;rz2-esx-57.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.51.31","NAGIOS-01"]
NAGIOS-02;poweredOn;6;32768;10.1.51.32;VLAN-10.1.51.x;CL_DMZ;DMZ;rz2-esx-57.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.51.32","NAGIOS-02"]
nessus-01;poweredOn;4;8192;10.1.51.51;VLAN-10.1.51.x;CL_DMZ;DMZ;rz2-esx-57.bev.int;Oracle Linux 8 (64-bit);CentOS 4/5 (64-bit);["10.1.51.51","nessus-01"]
NEXUS-1;poweredOn;4;16384;10.2.3.19;VLAN-10.2.3.x;CL_PU;PU;rz1-esx-34.bev.int;CentOS 4/5 (64-bit);CentOS 4/5 (64-bit);["10.2.3.19","NEXUS-1"]
NEXUS-1.neu;poweredOn;4;16384;10.2.3.119;VLAN-10.2.3.x;CL_PU;PU;rz2-esx-32.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.2.3.119","NEXUS-1.neu"]
NPS-01;poweredOn;2;16384;10.2.6.41;VLAN-10.2.6.x;CL_PU;PU;rz1-esx-34.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.2.6.41","NPS-01"]
OVBACKUP-01;poweredOn;1;4096;10.3.6.30;VLAN-300;CL_PU;PU;rz2-esx-50.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.3.6.30","OVBACKUP-01"]
PGR-01;poweredOn;2;2048;10.1.33.81;VLAN-10.1.33.x;CL_DMZ;DMZ;rz2-esx-36.bev.int;CentOS 7 (64-bit);CentOS 4/5/6 (64-bit);["10.1.33.81","PGR-01"]
PGSEU-01;poweredOn;2;2048;10.70.1.51;VLAN-10.70.1.x;CL_BEU;BEU;rz1-esx-51.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.70.1.51","PGSEU-01"]
PUKO-HOP-01;poweredOn;2;4096;10.1.39.91;VLAN-10.1.39.x;CL_DMZ;DMZ;rz2-esx-36.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.39.91","PUKO-HOP-01"]
PUKO-PU-01;poweredOn;2;8192;10.1.30.92;VLAN-10.1.30.x;CL_WEB;WEB;rz1-esx-39.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.30.92","PUKO-PU-01"]
PUKO-TU-01;poweredOn;2;4096;10.1.39.92;VLAN-10.1.39.x;CL_DMZ;DMZ;rz2-esx-36.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.39.92","PUKO-TU-01"]
PULogInsight;poweredOn;4;8192;10.2.9.126;VLAN-10.2.9.x;CL_PU;PU;rz1-esx-34.bev.int;SUSE Linux Enterprise 11 (64-bit);SUSE Linux Enterprise 11 (64-bit);["10.2.9.126","PULogInsight"]
PVAMA-01;poweredOn;2;8192;10.1.29.31;VLAN-10.1.29.x;CL_WEB;WEB;rz1-esx-59.bev.int;CentOS 7 (64-bit);CentOS 4/5 (64-bit);["10.1.29.31","PVAMA-01"]
PVAMA-02;poweredOn;2;8192;10.1.29.131;VLAN-10.1.29.x;CL_WEB;WEB;rz1-esx-59.bev.int;CentOS 7 (64-bit);CentOS 4/5 (64-bit);["10.1.29.131","PVAMA-02"]
QUEUE-1;poweredOn;2;8192;10.1.64.71;VLAN-10.1.64.x;CL_DMZ;DMZ;rz2-esx-57.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.64.71","QUEUE-1"]
QUEUE-2;poweredOn;2;8192;10.1.64.72;VLAN-10.1.64.x;CL_DMZ;DMZ;rz2-esx-57.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.64.72","QUEUE-2"]
QUEUE-3;poweredOn;2;8192;10.1.64.171;VLAN-10.1.64.x;CL_DMZ;DMZ;rz2-esx-57.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.64.171","QUEUE-3"]
QUEUE-4;poweredOn;2;8192;10.1.64.172;VLAN-10.1.64.x;CL_DMZ;DMZ;rz2-esx-57.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.64.172","QUEUE-4"]
REGTEST-1;poweredOn;4;32768;10.75.1.20;VLAN-10.75.1.x;CL_DMZ;DMZ;rz1-esx-57.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.75.1.20","REGTEST-1"]
remotesec02;poweredOn;2;8192;10.1.41.12;VLAN-10.1.41.x;CL_DMZ;DMZ;rz1-esx-36.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.1.41.12","remotesec02"]
RockyRepo-01;poweredOn;2;4096;10.2.8.2;VLAN-10.2.8.x;CL_PU;PU;rz2-esx-34.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.2.8.2","RockyRepo-01"]
RSA Authentication Appliance Primary;poweredOn;4;8192;10.1.253.33;SecMgmt_113;;Z-SEC;10.5.253.45;SUSE Linux Enterprise 15 (64-bit);SUSE Linux Enterprise 12 (64-bit);["10.1.253.33","RSA Authentication Appliance Primary"]
RSA Authentication Manager Replica Deploy181011;poweredOn;4;8192;10.1.253.34;SecMgmt_113;;Z-SEC;10.5.253.46;SUSE Linux Enterprise 15 (64-bit);SUSE Linux Enterprise 12 (64-bit);["10.1.253.34","RSA Authentication Manager Replica Deploy181011"]
RZ-ADD-01;poweredOn;2;16384;10.2.8.107;VLAN-10.2.8.x;CL_PU;PU;rz1-esx-34.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.2.8.107","RZ-ADD-01"]
RZ-ADI-01;poweredOn;4;24576;10.1.33.40;VLAN-10.1.33.x;CL_DMZ;DMZ;rz1-esx-57.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.1.33.40","RZ-ADI-01"]
RZ-ETUADI-01;poweredOn;2;24576;10.6.7.40;VLAN-10.6.7.x;CL_DMZ;DMZ;rz2-esx-37.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.6.7.40","RZ-ETUADI-01"]
RZ-ETUAPP-01;poweredOn;4;16384;10.6.7.62;VLAN-10.6.7.x;CL_DMZ;DMZ;rz2-esx-37.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.6.7.62","RZ-ETUAPP-01"]
RZ-ETUIMP-01;poweredOn;4;16384;10.6.7.69;VLAN-10.6.7.x;CL_DMZ;DMZ;rz1-esx-37.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.6.7.69","RZ-ETUIMP-01"]
RZ-ETUMAP-01;poweredOn;4;16384;10.6.7.63;VLAN-10.6.7.x;CL_DMZ;DMZ;rz1-esx-36.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.6.7.63","RZ-ETUMAP-01"]
RZ-ETUSOC-01;poweredOn;4;32768;10.6.7.45;VLAN-10.6.7.x;CL_DMZ;DMZ;rz1-esx-37.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.6.7.45","RZ-ETUSOC-01"]
RZ-ETUSOC-02;poweredOn;4;32768;10.6.7.46;VLAN-10.6.7.x;CL_DMZ;DMZ;rz2-esx-57.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.6.7.46","RZ-ETUSOC-02"]
RZ-FME-01;poweredOn;4;262144;10.2.11.4;VLAN-10.2.11.x;CL_PU;PU;rz1-esx-31.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.2.11.4","RZ-FME-01"]
RZ-FME-02;poweredOn;4;65536;10.2.11.5;VLAN-10.2.11.x;CL_PU;PU;rz1-esx-52.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 or later (64-bit);["10.2.11.5","RZ-FME-02"]
RZ-IMC-01;poweredOn;2;12288;10.2.5.224;VLAN-10.2.5.x;CL_PU;PU;rz1-esx-31.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.2.5.224","RZ-IMC-01"]
RZ0-FIL-50;poweredOn;2;12288;10.2.2.3;VLAN-10.2.2.x;CL_PU;PU;rz1-esx-33.bev.int;Microsoft Windows Server 2008 R2 (64-bit);Microsoft Windows Server 2008 R2 (64-bit);["10.2.2.3","RZ0-FIL-50"]
RZ0-FIL-90;poweredOn;2;8192;10.2.2.90;VLAN-10.2.2.x;CL_PU;PU;rz1-esx-33.bev.int;Microsoft Windows Server 2019 (64-bit);Microsoft Windows Server 2016 (64-bit);["10.2.2.90","RZ0-FIL-90"]
RZ0-INF-01;poweredOn;2;8192;10.1.33.19;VLAN-10.1.33.x;CL_DMZ;DMZ;rz1-esx-37.bev.int;Red Hat Linux 6/7/8/9;Red Hat Enterprise Linux 2.1;["10.1.33.19","RZ0-INF-01"]
RZ0-ORT-01;poweredOn;2;16384;10.1.33.61;VLAN-10.1.33.x;CL_DMZ;DMZ;rz2-esx-37.bev.int;Microsoft Windows Server 2008 R2 (64-bit);Microsoft Windows Server 2008 R2 (64-bit);["10.1.33.61","RZ0-ORT-01"]
RZ1-ADS-01;poweredOn;4;16384;10.3.10.252;VLAN-10.2.10.x;standalone;PU;rz1-esx-16.bev.int;Microsoft Windows Server 2008 R2 (64-bit);Microsoft Windows Server 2008 R2 (64-bit);["10.3.10.252","RZ1-ADS-01"]
RZ1-AMS-01;poweredOn;1;2048;10.1.7.26;VLAN-10.1.7.x;CL_WEB;WEB;rz2-esx-39.bev.int;CentOS 4/5/6 (32-bit);Red Hat Enterprise Linux 5 (32-bit);["10.1.7.26","RZ1-AMS-01"]
RZ1-AOT-01;poweredOn;2;4096;10.1.64.37;VLAN-10.1.64.x;CL_DMZ;DMZ;rz1-esx-57.bev.int;Microsoft Windows Server 2008 (64-bit);Microsoft Windows Server 2008 (64-bit);["10.1.64.37","RZ1-AOT-01"]
RZ1-APP-01;poweredOn;4;14336;10.1.33.45;VLAN-10.1.33.x;CL_DMZ;DMZ;rz2-esx-37.bev.int;Microsoft Windows Server 2008 (64-bit);Microsoft Windows Server 2008 (64-bit);["10.1.33.45","RZ1-APP-01"]
RZ1-APP-02;poweredOn;4;14336;10.1.33.46;VLAN-10.1.33.x;CL_DMZ;DMZ;rz1-esx-57.bev.int;Microsoft Windows Server 2008 (64-bit);Microsoft Windows Server 2008 (64-bit);["10.1.33.46","RZ1-APP-02"]
RZ1-ARC-01;poweredOn;4;4096;10.1.64.35;VLAN-10.1.64.x;CL_DMZ;DMZ;rz2-esx-36.bev.int;Microsoft Windows Server 2008 (64-bit);Microsoft Windows Server 2008 (64-bit);["10.1.64.35","RZ1-ARC-01"]
RZ1-ASS-01;poweredOn;4;32768;10.2.7.4;DPG_VLAN-10.2.7.0;CL-CTX;CTX;rz1-esx-29.bev.int;Microsoft Windows Server 2008 R2 (64-bit);Microsoft Windows Server 2008 R2 (64-bit);["10.2.7.4","RZ1-ASS-01"]
RZ1-AWI-01;poweredOn;2;16384;10.1.29.11;VLAN-10.1.29.x;CL_WEB;WEB;rz1-esx-39.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.29.11","RZ1-AWI-01"]
RZ1-AWP-01;poweredOn;1;8192;10.1.40.11;VLAN-10.1.40.x;CL_DMZ;DMZ;rz1-esx-36.bev.int;Rocky Linux (64-bit);CentOS 4/5 (64-bit);["10.1.40.11","RZ1-AWP-01"]
RZ1-BOM-01;poweredOn;1;4096;10.2.5.26;VLAN-10.2.5.x;CL_PU;PU;rz2-esx-50.bev.int;CentOS 4/5/6/7 (64-bit);Red Hat Enterprise Linux 5 (64-bit);["10.2.5.26","RZ1-BOM-01"]
RZ1-CON-01;poweredOn;2;4096;10.1.64.34;VLAN-10.1.64.x;CL_DMZ;DMZ;rz1-esx-57.bev.int;Microsoft Windows Server 2008 (64-bit);Microsoft Windows Server 2008 (64-bit);["10.1.64.34","RZ1-CON-01"]
